"id","name","code","account_type","reconcile","tag_ids","non_trade","parent_id","active","name@es"
"cuenta115_06","Goods held by third parties","115.06.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta115_00","","Mercancías en poder de terceros"
"cuenta118_00","Paid creditable taxes","118","asset_current","False","l10n_mx.tag_debit_balance_account","","","False","Impuestos acreditadles pagados"
"cuenta118_01","Creditable VAT paid","118.01.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta118_00","","IVA acreditable pagado"
"cuenta118_01_02","Creditable VAT paid at 8%","118.01.02","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta118_00","","IVA acreditable pagado al 8%"
"cuenta118_02","Creditable import VAT paid","118.02.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta118_00","","IVA acreditable de importación pagado"
"cuenta118_03","IEPS creditable paid","118.03.01","asset_current","False","l10n_mx.tag_debit_balance_account","","cuenta118_00","","IEPS acreditable pagado"
"cuenta119_00","Creditable taxes to be paid","119","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Impuestos acreditables por pagar"
"cuenta119_01","VAT due","119.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","IVA pendiente de pago"
"cuenta119_01_02","Freight VAT due","119.01.02","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","Flete IVA pendiente de pago"
"cuenta119_01_03","Honorarium VAT due","119.01.03","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","Honorarios IVA pendiente de pago"
"cuenta119_01_04","Lease VAT due","119.01.04","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","Arrendamiento IVA pendiente de pago"
"cuenta119_02","Importation VAT due","119.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","IVA de importación pendiente de pago"
"cuenta119_03","IEPS due","119.03.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta119_00","","IEPS pendiente"
"cuenta120_00","Advances to suppliers","120","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Anticipo a proveedores"
"cuenta120_01","Advance to national suppliers","120.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta120_00","","Anticipo a proveedores nacional"
"cuenta120_02","Advance payment to foreign suppliers","120.02.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta120_00","","Anticipo a proveedores extranjero"
"cuenta173_00","Deferred Revenue","173","asset_current","True","l10n_mx.tag_debit_balance_account","","","False","Gastos diferidos"
"cuenta173_01","Deferred expenses","173.01.01","asset_current","True","l10n_mx.tag_debit_balance_account","","cuenta173_00","","Gastos diferidos"
"cuenta201_00","Accounts payable","201","liability_payable","True","l10n_mx.tag_credit_balance_account","","","False","Proveedores"
"cuenta201_01","National suppliers","201.01.01","liability_payable","True","l10n_mx.tag_credit_balance_account","","cuenta201_00","","Proveedores nacionales"
"cuenta201_01_02","Employee Reimbursement","201.01.02","liability_payable","True","l10n_mx.tag_credit_balance_account","","cuenta201_00","","Reembolso empleados"
"cuenta205_00","Sundry creditors (Short-term)","205","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Acreedores diversos a corto plazo"
"cuenta205_06_01","Goods Received - No Invoices","205.06.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta205_00","","Mercancías Recibidas - No Facturas"
"cuenta205_06_02","Other Various Short-Term Credits (Fonacot)","205.06.02","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta205_00","","Otros acreedores diversos a corto plazo (Fonacot)"
"cuenta206_00","Customer advance payments","206","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Anticipo de cliente"
"cuenta206_01","Domestic customer advance","206.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta206_00","","Anticipo de cliente nacional"
"cuenta206_02","Advance payment from foreign customer","206.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta206_00","","Anticipo de cliente extranjero"
"cuenta206_05_01","Other customer advances","206.05.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta206_00","","Otros anticipos de clientes"
"cuenta208_00","Collected carried forward taxes","208","liability_current","False","l10n_mx.tag_credit_balance_account","","","False","Impuestos trasladados cobrados"
"cuenta208_01","VAT carried forward collected","208.01.01","liability_current","False","l10n_mx.tag_credit_balance_account","","cuenta208_00","","IVA trasladado cobrado"
"cuenta208_02","IEPS carried forward collected","208.02.01","liability_current","False","l10n_mx.tag_credit_balance_account","","cuenta208_00","","IEPS trasladado cobrado"
"cuenta209_00","Uncollected carried forward taxes","209","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Impuestos trasladados no cobrados"
"cuenta209_01","VAT carried forward not collected","209.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta209_00","","IVA trasladado no cobrado"
"cuenta209_02","IEPS carried forward not collected","209.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta209_00","","IEPS trasladado no cobrado"
"cuenta210_00","Accrued wages and salaries","210","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Provisión de sueldos y salarios por pagar"
"cuenta210_01","Provision of wages and salaries to pay","210.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta210_00","","Provisión de sueldos y salarios a pagar"
"cuenta210_02","Provision for vacation to pay","210.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta210_00","","Provisión de vacaciones a pagar"
"cuenta210_03","Provision for bonus to pay","210.03.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta210_00","","Provisión de aguinaldo a pagar"
"cuenta210_04","Provision for savings fund to pay","210.04.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta210_00","","Provisión de fondo de ahorro a pagar"
"cuenta211_00","Accrued social security contributions","211","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Provisión de contribuciones de seguridad social por pagar"
"cuenta211_01","Provision for employer IMSS to pay","211.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta211_00","","Provisión de IMSS patronal a pagar"
"cuenta211_02","Provision for SAR to pay","211.02.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta211_00","","Provisión de SAR a pagar"
"cuenta211_03","Provision for infonavit to pay","211.03.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta211_00","","Provisión de infonavit a pagar"
"cuenta213_00","Taxes and duties payable","213","liability_payable","True","l10n_mx.tag_credit_balance_account","","","False","Impuestos y derechos por pagar"
"cuenta213_01","VAT payable","213.01.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","cuenta213_00","","IVA por pagar"
"cuenta213_02","IEPS payable","213.02.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","cuenta213_00","","IEPS por pagar"
"cuenta213_03","ISR payable","213.03.01","liability_payable","True","l10n_mx.tag_credit_balance_account","True","cuenta213_00","","ISR por pagar"
"cuenta213_07","Other taxes payable","213.07.01","liability_payable","True","l10n_mx.tag_credit_balance_account","","cuenta213_00","","Otros impuestos por pagar"
"cuenta216_00","Withheld taxes","216","liability_current","True","l10n_mx.tag_credit_balance_account","","","False","Impuestos retenidos"
"cuenta216_01","Withholding or income tax for wages and salaries","216.01.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Retenciones o impuesto sobre la renta para sueldos y salarios"
"cuenta216_03","Withholding of income tax for leasing","216.03.01","liability_current","False","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Impuestos retenidos de ISR por arrendamiento"
"cuenta216_04","Taxes withheld from income tax for professional services","216.04.01","liability_current","False","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Impuestos retenidos de ISR por servicios profesionales"
"cuenta216_10","VAT withholding taxes","216.10.10","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Impuestos retenidos de IVA"
"cuenta216_10_20","VAT withholding tax effectively paid","216.10.20","liability_current","False","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Impuestos retenidos de iva efectivamente pagados"
"cuenta216_11","IMSS withholding tax","216.11.01","liability_current","True","l10n_mx.tag_credit_balance_account","","cuenta216_00","","Retención de impuestos del IMSS"
